kaptCode,kaptName,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptFax,kaptUrl,codeAptNm,doroJuso,hoCnt,codeMgrNm,codeHallNm,kaptUsedate,kaptMarea,kaptMparea_60,kaptMparea_85,kaptMparea_135,kaptMparea_136,privArea,bjdCode,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility
A10023740,e편한세상 평내 메트로원,경기도 남양주시 평내동 0 e편한세상 평내 메트로원,분양,개별난방,137115.5861,15,NA,대림건설,조합,315957533,315957535,e편한세상 평내 메트로원.apti.co.kr,아파트,NA,1108,위탁관리,계단식,20220624,96073.4817,NA,NA,NA,NA,96073.4817,4136010200,위탁관리,8,(주)경진관리,위탁관리,5,(주)경진관리,위탁관리,13,거점장비수거방식,관리방식미정,NA,NA,철골철근콘크리트구조,4065,종합계약,상주선임,R형,부스타방식,위탁관리,32,128,1051,유,463,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,경춘선,NA,10~15분이내,관공서(평내주민센터) 병원() 공원(),초등학교(평내) 중학교(평내)
A10023832,LH퍼스트포레,경기도 남양주시 별내동 822-1 LH퍼스트포레,임대+분양,지역난방,50015.85,5,380,삼환기업,한국토지주택공사,315284123,315285123, ,아파트,경기도 남양주시 순화궁로 458-16,380,위탁관리,계단식,20220415,49948.8096,380,0,0,0,20183.83,4136011100,위탁관리,5,대성티엠씨 주식회사,위탁관리,2,(주)미래가이드,위탁관리,4,음식물쓰레기종량제,위탁관리,12,NA,NA,NA,NA,NA,NA,NA,위탁관리,15,NA,NA,NA,NA,NA,5분이내,NA,NA,NA,NA,NA
A10023863,다산지금 경기행복주택,경기도 남양주시 다산동 6110 다산지금 경기행복주택,임대,지역난방,167881.177,7,2078,금호건설,경기주택도시공사,315106045,315106046,다산지금경기행복주택.apti.co.kr,아파트,경기도 남양주시 다산중앙로82번길 106,2078,위탁관리,복도식,20220407,164721.9561,2078,0,0,0,77416.8247,4136011200,위탁관리,15,(주)두잉씨앤에스,위탁관리,6,삼우안전관리,위탁관리,16,음식물쓰레기종량제,관리방식미정,NA,NA,철근콘크리트구조,6000,종합계약,상주선임,R형,부스타방식,위탁관리,31,508,1457,유,415,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,경의중앙선,NA,5~10분이내,"관공서(남양주시청,  남양주북부경찰서, 한국전력, 지방법원, ) 병원(한양대병원) 백화점(롯데백화점) 기타(의료보험공단)","초등학교(별빛초등학교, 도농초등학교) 중학교(도농중학교, 동화중학교) 고등학교(동화고등학교)"
A10023893,다산한신더휴 7단지 아파트,경기도 남양주시 다산동 681 다산한신더휴 7단지 아파트,분양,개별난방,26398.37,7,114,한신공영(주),LH,315671973,315671974, ,아파트,경기도 남양주시 가운로2길 78,114,위탁관리,혼합식,20091028,18477.12,0,0,109,5,14803.52,4136011200,위탁관리,NA,(주)미래에이비엠,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,5분이내,NA,NA,10~15분이내,NA,NA
A10023982,다산한신더휴6단지,경기도 남양주시 다산동 682 다산한신더휴6단지,분양,개별난방,26128,3,111,한신공영,LH,315671971,315671972, ,아파트,NA,111,위탁관리,혼합식,20091028,18141.156,0,0,111,0,14513.88,4136011200,위탁관리,NA,(주)미래에이비엠,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,5~10분이내,NA,NA,15~20분이내,NA,NA
A10024060,다산 메트로 3단지,경기도 남양주시 다산동 6076 다산 메트로 3단지,임대,지역난방,89211.906,6,1257,대우건설,경기도시주택공사,315547788,315547789,다산메트로3단지.apti.co.kr,아파트,경기도 남양주시 다산중앙로123번길 47,1257,위탁관리,복도식,20210831,68446.7389,1257,0,0,0,41738.7611,4136011200,위탁관리,10,주식회사 한울타리,위탁관리,8,(주)한울타리,위탁관리,10,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,NA,종합계약,상주선임,R형,부스타방식,관리방식미정,18,216,720,NA,203,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",5분이내,8호선,NA,5분이내,NA,"초등학교(다산가람초등학교, 남양주 다산초등학교) 중학교(남양주 다산 중학교) 고등학교(남양주 다산 고등학교)"
A10024093,다산신도시자연앤푸르지오,경기도 남양주시 다산동 6163 다산신도시자연앤푸르지오,분양,지역난방,187159.0777,10,1614,대우건설,경기주택도시공사,315561614,315561615, ,아파트,경기도 남양주시 다산중앙로82번안길 74,1614,위탁관리,계단식,20211027,128043.7421,1614,0,0,0,93273.8085,4136011200,위탁관리,11,(주)대우에스티,위탁관리,8,(주) 경진관리,위탁관리,16,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,독이식",철근콘크리트구조,5661.16,종합계약,상주선임,GR형,부스타방식,관리방식미정,38,0,1614,유,441,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,"8호선, 경의중앙선",NA,5~10분이내,"관공서(남양주남부경찰서, 의정부지방법원, 남양주시청 1,2청사, 한전남양주지사, ) 병원(한양대학교 구리병원) 백화점(현대프리미엄 아울렛 SPACE1) 대형상가(이마트 다산점) 공원() 기타()","초등학교(다산별빛초등학교, 금교초등학교) 중학교(도농중학교, 동화중학교, 미금중학교, 남양주다산중학교.) 고등학교(동화고등학교, 도농고등학교, 인창고등학교)"
A10024142,별빛마을3-6단지,경기도 남양주시 별내동 1030 별빛마을3-6단지,국민임대,지역난방,68831,6,787,한일건설외 2개사,lh,315293601,315293602, ,아파트,경기도 남양주시 별내3로 64-16,787,위탁관리,복도식,20210908,68455.4015,787,0,0,0,30524.14,4136011100,위탁관리,7,중앙종합관리(주),위탁관리,4,탐스관리(주),위탁관리,6,거점장비수거방식,관리방식미정,NA,NA,철골구조,1750,종합계약,상주선임,R형,부스타방식,NA,14,223,487,유,127,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,경춘선,NA,5~10분이내,NA,NA
A10024153,다산자연앤자이아파트,경기도 남양주시 다산동 6015 다산자연앤자이아파트,분양,지역난방,129837.5072,7,878,지에스건설,경기주택공사,315233131,25233132,dasan.xisnd.co.kr,아파트,경기도 남양주시 다산순환로 242,878,위탁관리,계단식,20210729,93365.1335,0,878,0,0,71722.7395,4136011200,위탁관리,8,자이에스앤디(주),위탁관리,7,한국보안컨설팅,위탁관리,10,음식물쓰레기종량제,관리방식미정,4,도포식,철근콘크리트구조,5250,종합계약,상주선임,GR형,부스타방식,관리방식미정,34,5,1043,유,231,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5분이내,NA,NA,20분초과,관공서() 병원() 백화점(),초등학교() 중학교() 고등학교()
A10024195,다산센트럴파크,경기도 남양주시 다산동 6107 다산센트럴파크,임대,지역난방,157877.06,6,2075,GS건설(주),경기주택도시공사,315510016,315510019,dsc6.aptner.com/v2,NA,경기도 남양주시 다산중앙로82번길 87-17,2075,위탁관리,복도식,20210728,112971.3364,2075,0,0,0,78076.85,4136011200,위탁관리,15,피에이아름다운관리(주),위탁관리,6,유한회사 현대관리시스템,위탁관리,16,음식물쓰레기종량제,관리방식미정,NA,NA,철근콘크리트구조,7600,종합계약,상주선임,R형,부스타방식,관리방식미정,24,417,1371,유,290,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,경의중앙선,NA,5~10분이내,"관공서(남양주시법원, 남양주남부경찰서, 남양주시청제2청사, 구리남양주교육지원청, 다산행정복지센터) 병원(남양주보건소) 백화점(현대프리미엄아울렛) 대형상가(이마트) 공원(다산중앙공원)","초등학교(다산별빛초등학교, 다산새봄초등학교) 중학교(다산새봄중학교) 고등학교(도농고등학교, 동화고등학교)"
A10024233,별가람마을1-8단지,경기도 남양주시 별내동 822 별가람마을1-8단지,임대,지역난방,56161.12,5,872,(주)서한,한국주택공사(LH),315731855,315731856, ,아파트,경기도 남양주시 순화궁로 458-58,872,위탁관리,복도식,20210706,56161.12,872,0,0,0,26316.88,4136011100,위탁관리,8,(주)미래에이비엠,위탁관리,4,(주)다원피엠씨,위탁관리,6,거점장비수거방식,위탁관리,4,"도포식,분무식",철골철근콘크리트구조,2450,종합계약,상주선임,GR형,부스타방식,위탁관리,15,175,455,유,151,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,NA,NA,NA,NA,NA
A10024356,두산알프하임,경기도 남양주시 호평동 730 두산알프하임,분양,개별난방,443448.4199,49,2894,두산중공업,하나자산신탁,315910953,315910962,v2admin.aptner.com,아파트,경기도 남양주시 백봉로 32,2894,위탁관리,계단식,20210128,302508.5455,488,2218,188,0,226246.0038,4136010100,위탁관리,17,(주)동우개발,위탁관리,17,주식회사 에스원,위탁관리,33,거점장비수거방식,위탁관리,12,독이식,철골콘크리트구조,15117,단일계약,상주선임,R형,부스타방식,위탁관리,74,0,3564,유,700,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,경춘선,평내호평,10~15분이내,공원(백봉산),초등학교(하랑초등학교) 중학교(하랑중학교)
A10024407,다산한신더휴8단지,경기도 남양주시 다산동 690 다산한신더휴8단지,분양,개별난방,14356.33,3,63,한국토지주택공사,한신공영,315671975,315671976, ,아파트,경기도 남양주시 가운로2길 98,63,위탁관리,계단식,20091028,9995.392,0,0,60,3,8067.18,4136011200,위탁관리,1,(주)미래에이비엠,위탁관리,0,NA,위탁관리,1,차량수거방식,위탁관리,NA,NA,철근콘크리트구조,450,종합계약,위탁선임,R형,부스타방식,NA,NA,116,0,유,35,NA,5분이내,NA,NA,15~20분이내,NA,NA
A10024415,다산해모로아파트,경기도 남양주시 다산동 6297 다산해모로아파트,임대+분양,개별난방,58346.8236,5,449,한진중공업,지금 도농 1-3구역 주택재개발 정비사업조합,315653596,315663596,https://cafe.naver.com/dshaemoro,아파트,경기도 남양주시 미금로19번길 9,449,위탁관리,혼합식,20210219,39049.94,349,100,0,0,28060.5671,4136011200,위탁관리,5,(주)무림하우징,위탁관리,5,나래종합관리(주),위탁관리,4,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,2100,종합계약,상주선임,GR형,부스타방식,위탁관리,10,0,517,유,177,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,경의중앙선,NA,10~15분이내,관공서(다산행정복지센터) 병원(한양대학교 구리병원) 백화점(구리 롯데백화점),"초등학교(미금초등학교) 중학교(도농중학교) 고등학교(도농고등학교, 동화고등학교)"
A10024480,다산자이아이비플레이스 아파트,경기도 남양주시 다산동 6028 다산자이아이비플레이스 아파트,분양,지역난방,179381.9507,7,967,GS건설,화이트코리아,315225810,25225811,dsxiivy.xisnd.co.kr/,아파트,경기도 남양주시 다산중앙로 153,967,위탁관리,계단식,20210107,123682.4767,0,260,707,0,96824.8313,4136011200,위탁관리,9,자이에스앤디(주),위탁관리(직영+위탁),7,NA,위탁관리(직영+위탁),10,음식물쓰레기종량제,관리방식미정,NA,NA,철골철근콘크리트구조,6500,종합계약,상주선임,GR형,부스타방식,관리방식미정,25,0,1408,무,361,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,8호선,NA,5분이내,NA,NA
A10024648,평내호평역 대명루첸포레스티움아파트,경기도 남양주시 평내동 191 평내호평역 대명루첸포레스티움아파트,분양,개별난방,129329.2383,11,1008,대명종합건설(주),(주)루첸파크,315957516,315957517, ,아파트,경기도 남양주시 경춘로 1305,1008,위탁관리,계단식,20200603,84381.0417,936,72,0,0,60939.0883,4136010200,위탁관리,8,(주)진흥관리시스템,위탁관리,8,(주)아이원서비스,위탁관리,11,차량수거방식,위탁관리,NA,"도포식,분무식,독이식",철근콘크리트구조,5250,단일계약,상주선임,R형,부스타방식,위탁관리,19,6,1159,유,354,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,경춘선,평내호평역,10~15분이내,관공서(남양주시청) 병원(국민) 대형상가(이마트),초등학교(평내) 중학교(평내)
A10024788,위스테이별내,경기도 남양주시 별내동 805 위스테이별내,임대,지역난방,71568.55,7,491,계룡건설,유한책임회사 더함,7077918700,7042827948, ,아파트,경기도 남양주시 덕송3로 27,491,위탁관리,계단식,20200527,71180.5937,0,491,0,0,37067.469,4136011100,위탁관리,6,주식회사 스페이스잇다,위탁관리,4,(주)에스텍에이스,위탁관리,6,음식물쓰레기종량제,위탁관리,4,분무식,철골철근콘크리트구조,3250,종합계약,상주선임,R형,부스타방식,위탁관리,17,7,631,유,168,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설",5분이내,NA,NA,5~10분이내,NA,NA
A10025066,다산 신안인스빌퍼스트포레,경기도 남양주시 다산동 6213 다산 신안인스빌퍼스트포레,분양,지역난방,201003.4775,11,1282,(주)신안,주식회사 하나자산신탁,315521257,315521274,dssifforet,아파트,경기도 남양주시 다산지금로123번길 17,1282,위탁관리,혼합식,20200121,141313.9346,0,1282,0,0,108924.0812,4136011200,위탁관리,9,에스더블유엠(주),위탁관리,6,서진종합관리,위탁관리,16,음식물쓰레기종량제,위탁관리,12,분무식,철골콘크리트구조,5000,종합계약,상주선임,R형,부스타방식,위탁관리,28,0,1495,유,448,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,경의중앙선,NA,10~15분이내,NA,초등학교(다산한강초등학교) 중학교(다산한강중학교)
A10025142,별내우미린스타포레아파트,경기도 남양주시 별내동 895 별내우미린스타포레아파트,분양,지역난방,91051,8,585,우미건설,(주)다안건설,315292293,315292294,wmbn.aptner.com,아파트,경기도 남양주시 별내5로 189-130,585,위탁관리,계단식,20191223,63805.7225,0,585,0,0,49671.1865,4136011100,위탁관리,7,우리관리(주),위탁관리,5,(주)아이원서비스,위탁관리,6,거점장비수거방식,관리방식미정,9,"도포식,기구부착식",철골철근콘크리트구조,2200,단일계약,상주선임,R형,부스타방식,관리방식미정,22,9,740,유,192,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5분이내,경춘선,NA,5~10분이내,관공서() 백화점(),초등학교() 중학교() 고등학교()
A10025306,다산역 경기행복주택아파트,경기도 남양주시 다산동 6027 다산역 경기행복주택아파트,임대,지역난방,80012.72,4,970,대림산업,경기도시공사,315544921,315544922,다산역경기행복주택.apti.co.kr/aptHome/,아파트,경기도 남양주시 다산중앙로145번길 38,970,위탁관리(직영+위탁),복도식,20190902,57020.5,970,0,0,0,35746.18,4136011200,위탁관리(직영+위탁),7,국제경보산업,위탁관리,4,선우환경,위탁관리,6,음식물쓰레기종량제,관리방식미정,4,"도포식,분무식",철골콘크리트구조,2200,종합계약,상주선임,GR형,부스타방식,위탁관리(직영+위탁),12,282,583,유,167,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,8호선,NA,5분이내,"관공서(다산1동행정복지센터, 남양주시청, 남양주시보건소, 남양주경찰서) 병원(한양대백병원) 백화점(롯데백화점) 대형상가(현대아울렛, 이마트 ) 기타(정약용도서관, 다산아트홀)","초등학교(새봄초등학교, 다산초등학교, ) 중학교(다산중학교) 고등학교(다산고등학교)"
A10025331,다산자연&e편한세상 3차아파트 ,경기도 남양주시 다산동 6132 다산자연&e편한세상 3차아파트 ,임대,지역난방,151506.85,10,1394,주식회사 삼호,경기주택도시공사,315544915,315544917,https://다산자연앤이편한세상3차.apti.co.kr,아파트,경기도 남양주시 다산중앙로82번길 12,1394,위탁관리,계단식,20190726,117242.043,1394,0,0,0,78468.9307,4136011200,위탁관리,9,국제경보산업(주),위탁관리,9,선우환경관리(주),위탁관리,14,음식물쓰레기종량제,위탁관리,NA,NA,철골철근콘크리트구조,4600,종합계약,상주선임,R형,부스타방식,위탁관리,30,42,1269,유,271,"관리사무소, 노인정, 보육시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,NA,NA,5~10분이내,NA,NA
A10025354,호평오네뜨센트럴아파트,경기도 남양주시 호평동 190-1 호평오네뜨센트럴아파트,분양,개별난방,84957.5997,7,616,남해종합개발(주),남해주택건설(주),315234095,315234096, ,아파트,경기도 남양주시 늘을3로 88-12,616,위탁관리,계단식,20190816,58344.4775,220,396,0,0,42897.2368,4136010100,위탁관리,6,자이에스앤디(주),위탁관리(직영+위탁),5,자이에스앤디(주),위탁관리,6,음식물쓰레기종량제,관리방식미정,12,NA,철근콘크리트구조,3200,종합계약,상주선임,R형,부스타방식,관리방식미정,16,0,726,유,169,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,경춘선,경춘선 평내호평역,5~10분이내,관공서() 병원() 대형상가() 공원(),초등학교() 중학교() 고등학교()
A10025393,다산자연앤e편한세상2차,경기도 남양주시 다산동 6151 다산자연앤e편한세상2차,분양,지역난방,74091.93,5,491,대림산업(주),경기도시공사,315545441,315545442,dasan-ephpapt.com,아파트,경기도 남양주시 다산중앙로20번길 7,491,위탁관리,계단식,20190628,54033.16,0,491,0,0,40546.92,4136011200,위탁관리,5,(주)동우개발,위탁관리,4,(주)혜진종합관리,위탁관리,5,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철골철근콘크리트구조,3000,단일계약,상주선임,R형,부스타방식,위탁관리,14,4,577,유,196,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,"경의중앙선, 경의중앙선",NA,10~15분이내,NA,NA
A10025435,다산신안인스빌퍼스트리버,경기도 남양주시 다산동 540 다산신안인스빌퍼스트리버,분양,지역난방,124464.4584,8,800,(주)신안,(주)신안,315543628,315543629, ,아파트,경기도 남양주시 다산지금로146번길 100,800,위탁관리,계단식,20190627,88359.3712,0,800,0,0,67971.2272,4136011200,위탁관리,7,우리관리(주),위탁관리,6,(주)조은세이프,위탁관리,8,음식물쓰레기종량제,위탁관리,7,"도포식,분무식,기구부착식,기구설치식",철근콘크리트구조,4575.8,종합계약,상주선임,R형,부스타방식,위탁관리,17,7,933,유,270,"관리사무소, 노인정, 문고, 어린이놀이터, 자전거보관소",5분이내,경의중앙선,도농역,5~10분이내,관공서(다산2동 행복복지센타),NA
A10025474,다산 금강펜테리움 리버테라스2차아파트,경기도 남양주시 다산동 6235 다산 금강펜테리움 리버테라스2차아파트,분양,지역난방,198015.5154,15,1304,금강주택,하이아트이앤씨,315532237,315532237,riverterrace2.com,아파트,경기도 남양주시 다산지금로146번길 117,1304,위탁관리,계단식,20190612,143691.5524,0,1304,0,0,110260.4168,4136011200,위탁관리,9,주식회사 한빛종합관리,위탁관리,9,(주)에스원,위탁관리,12,음식물쓰레기종량제,관리방식미정,12,"도포식,분무식,기구부착식,독이식",철골철근콘크리트구조,3750,종합계약,상주선임,GR형,부스타방식,위탁관리,28,8,1566,유,331,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,NA,NA,20분초과,NA,초등학교(다산한강초등학교)
A10025561,다산센트럴에일린의뜰아파트,경기도 남양주시 다산동 6208 다산센트럴에일린의뜰아파트,분양,지역난방,115100.7559,5,759,아이에스동서주식회사,아이에스동서주식회사,315233085,315233086, ,아파트,경기도 남양주시 다산지금로16번길 88,759,위탁관리,계단식,20190411,84286.6156,0,759,0,0,64365.515,4136011200,위탁관리,7,NA,위탁관리,7,(주)한빛관리,위탁관리,8,음식물쓰레기종량제,위탁관리,4,"도포식,기구부착식,독이식",철근콘크리트구조,4150,종합계약,상주선임,R형,부스타방식,위탁관리,15,891,9,유,216,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5분이내,경의중앙선,NA,10~15분이내,NA,NA
A10025584,별가람마을 1-2단지 아파트,경기도 남양주시 별내동 806 별가람마을 1-2단지 아파트,임대,지역난방,68406,4,1220,"대보건설(주), 한국해양기술(주), 세온이엠에스(주), 하나로(주) 건우엔지니어링(주), 세건엔지니어링(주)",(주)국민행복주택 제1호 위탁관리부동산 투자회사,315728670,315728672, ,아파트,경기도 남양주시 덕송3로 30,1220,위탁관리,복도식,20190311,68405.9096,1220,0,0,0,32066.74,4136011100,위탁관리,9,율산개발 유한회사,위탁관리,4,(유)원광,위탁관리,8,거점장비수거방식,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,3050,종합계약,상주선임,R형,부스타방식,위탁관리,15,333,524,유,151,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,NA,NA,15~20분이내,"관공서(남양주시청, 별내동행정복지센터, 남양주경찰서,별내 파출소,별내소방서,별내에너지) 공원()",초등학교(덕송초등학교) 중학교(별가람중학교) 고등학교(별가람고등학교)
A10025596,반도유보라 메이플타운 2,경기도 남양주시 다산동 6234 반도유보라 메이플타운 2,분양,지역난방,194587.6881,11,1261,(주)반도건설,(주)한영개발,315630753,315630755,반도유보라메이플타운2.apti.co.kr,아파트,경기도 남양주시 다산지금로146번길 67,1261,위탁관리,계단식,20190321,139105.2383,0,1261,0,0,105954.6473,4136011200,위탁관리,9,주식회사 한빛종합관리,관리방식미정,10,주식회사 에스원,위탁관리,15,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,5250,종합계약,상주선임,R형,부스타방식,위탁관리,23,13,1525,유,323,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,NA,NA,20분초과,NA,NA
A10025828,다산펜테리움 리버테라스1차,경기도 남양주시 다산동 6215 다산펜테리움 리버테라스1차,분양,지역난방,141119.4765,8,944,금강주택(주),금강종합건설(주),315689185,315689186, ,아파트,경기도 남양주시 다산지금로145번길 15,944,위탁관리,계단식,20181221,103951.2384,0,944,0,0,80184.8624,4136011200,위탁관리,8,우리관리(주),위탁관리,7,에스원(강북지원센타),위탁관리,11,음식물쓰레기종량제,위탁관리,2,분무식,철근콘크리트구조,3900,종합계약,상주선임,GR형,부스타방식,위탁관리,16,0,1134,유,203,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,경의중앙선,도농역,20분초과,"관공서(남양주시청 제2청사, 다산2동 주민센터) 병원(한양대학교 구리병원) 대형상가(이마트) 공원()",초등학교() 중학교()
